cross-validation:early fusion
Epoch 7/32, Train Loss: 0.0196, Dev Acc: 0.3125, Dev AUC: 0.4844, Test Acc: 0.1875, Test AUC: 0.4423, Best Thresh: 0.36
Epoch 8/32, Train Loss: 0.0189, Dev Acc: 0.3125, Dev AUC: 0.4948, Test Acc: 0.1875, Test AUC: 0.5385, Best Thresh: 0.36
Epoch 9/32, Train Loss: 0.0187, Dev Acc: 0.6875, Dev AUC: 0.5312, Test Acc: 0.4062, Test AUC: 0.5192, Best Thresh: 0.38
Epoch 10/32, Train Loss: 0.0178, Dev Acc: 0.4375, Dev AUC: 0.6198, Test Acc: 0.3438, Test AUC: 0.6026, Best Thresh: 0.34
Epoch 11/32, Train Loss: 0.0176, Dev Acc: 0.2500, Dev AUC: 0.4792, Test Acc: 0.1875, Test AUC: 0.6346, Best Thresh: 0.10
Epoch 12/32, Train Loss: 0.0181, Dev Acc: 0.2500, Dev AUC: 0.4792, Test Acc: 0.1875, Test AUC: 0.5833, Best Thresh: 0.10
Epoch 13/32, Train Loss: 0.0178, Dev Acc: 0.2812, Dev AUC: 0.5208, Test Acc: 0.1875, Test AUC: 0.4808, Best Thresh: 0.26
Epoch 14/32, Train Loss: 0.0172, Dev Acc: 0.2812, Dev AUC: 0.4844, Test Acc: 0.1875, Test AUC: 0.4615, Best Thresh: 0.28
Epoch 15/32, Train Loss: 0.0173, Dev Acc: 0.2812, Dev AUC: 0.5156, Test Acc: 0.1875, Test AUC: 0.6282, Best Thresh: 0.24
Epoch 16/32, Train Loss: 0.0170, Dev Acc: 0.7188, Dev AUC: 0.6927, Test Acc: 0.5625, Test AUC: 0.6474, Best Thresh: 0.30
Epoch 17/32, Train Loss: 0.0166, Dev Acc: 0.4375, Dev AUC: 0.6146, Test Acc: 0.2812, Test AUC: 0.5897, Best Thresh: 0.26
Epoch 18/32, Train Loss: 0.0173, Dev Acc: 0.5938, Dev AUC: 0.6562, Test Acc: 0.4688, Test AUC: 0.7051, Best Thresh: 0.28
Epoch 19/32, Train Loss: 0.0175, Dev Acc: 0.4375, Dev AUC: 0.6042, Test Acc: 0.2812, Test AUC: 0.6346, Best Thresh: 0.26
Epoch 20/32, Train Loss: 0.0174, Dev Acc: 0.4375, Dev AUC: 0.5208, Test Acc: 0.3125, Test AUC: 0.6474, Best Thresh: 0.24
Epoch 21/32, Train Loss: 0.0165, Dev Acc: 0.7188, Dev AUC: 0.5677, Test Acc: 0.5938, Test AUC: 0.5641, Best Thresh: 0.30
Epoch 22/32, Train Loss: 0.0162, Dev Acc: 0.6875, Dev AUC: 0.5990, Test Acc: 0.5938, Test AUC: 0.5705, Best Thresh: 0.30
Epoch 23/32, Train Loss: 0.0170, Dev Acc: 0.2812, Dev AUC: 0.4479, Test Acc: 0.1875, Test AUC: 0.5705, Best Thresh: 0.14
Epoch 24/32, Train Loss: 0.0160, Dev Acc: 0.7188, Dev AUC: 0.6302, Test Acc: 0.6875, Test AUC: 0.6474, Best Thresh: 0.30
Epoch 25/32, Train Loss: 0.0160, Dev Acc: 0.5938, Dev AUC: 0.6146, Test Acc: 0.4688, Test AUC: 0.6154, Best Thresh: 0.24
Epoch 26/32, Train Loss: 0.0161, Dev Acc: 0.6562, Dev AUC: 0.5417, Test Acc: 0.5625, Test AUC: 0.5641, Best Thresh: 0.26
Epoch 27/32, Train Loss: 0.0164, Dev Acc: 0.2812, Dev AUC: 0.5312, Test Acc: 0.2188, Test AUC: 0.5897, Best Thresh: 0.16
Epoch 28/32, Train Loss: 0.0164, Dev Acc: 0.4375, Dev AUC: 0.5469, Test Acc: 0.3125, Test AUC: 0.6410, Best Thresh: 0.18
Epoch 29/32, Train Loss: 0.0162, Dev Acc: 0.2812, Dev AUC: 0.4740, Test Acc: 0.1875, Test AUC: 0.5897, Best Thresh: 0.12
Epoch 30/32, Train Loss: 0.0149, Dev Acc: 0.6250, Dev AUC: 0.6094, Test Acc: 0.5000, Test AUC: 0.6154, Best Thresh: 0.26
Epoch 31/32, Train Loss: 0.0157, Dev Acc: 0.2812, Dev AUC: 0.5365, Test Acc: 0.1875, Test AUC: 0.5962, Best Thresh: 0.12
Epoch 32/32, Train Loss: 0.0163, Dev Acc: 0.4688, Dev AUC: 0.5573, Test Acc: 0.3125, Test AUC: 0.6474, Best Thresh: 0.20
Epoch 1/32, Train Loss: 0.0224, Dev Acc: 0.2500, Dev AUC: 0.4688, Test Acc: 0.1875, Test AUC: 0.3846, Best Thresh: 0.10
Epoch 2/32, Train Loss: 0.0223, Dev Acc: 0.2812, Dev AUC: 0.5052, Test Acc: 0.2500, Test AUC: 0.5385, Best Thresh: 0.46
Epoch 3/32, Train Loss: 0.0219, Dev Acc: 0.4375, Dev AUC: 0.5417, Test Acc: 0.2188, Test AUC: 0.4423, Best Thresh: 0.46
Epoch 4/32, Train Loss: 0.0207, Dev Acc: 0.2812, Dev AUC: 0.5885, Test Acc: 0.2188, Test AUC: 0.4615, Best Thresh: 0.42
Epoch 5/32, Train Loss: 0.0206, Dev Acc: 0.7188, Dev AUC: 0.6250, Test Acc: 0.6250, Test AUC: 0.4487, Best Thresh: 0.46
Epoch 6/32, Train Loss: 0.0195, Dev Acc: 0.6562, Dev AUC: 0.5000, Test Acc: 0.5625, Test AUC: 0.4359, Best Thresh: 0.44
Epoch 7/32, Train Loss: 0.0200, Dev Acc: 0.2500, Dev AUC: 0.5417, Test Acc: 0.1875, Test AUC: 0.4615, Best Thresh: 0.10
Epoch 8/32, Train Loss: 0.0193, Dev Acc: 0.3125, Dev AUC: 0.4844, Test Acc: 0.2188, Test AUC: 0.5705, Best Thresh: 0.38
Epoch 9/32, Train Loss: 0.0191, Dev Acc: 0.2812, Dev AUC: 0.5365, Test Acc: 0.1875, Test AUC: 0.5321, Best Thresh: 0.36
Epoch 10/32, Train Loss: 0.0183, Dev Acc: 0.3750, Dev AUC: 0.5677, Test Acc: 0.2188, Test AUC: 0.6474, Best Thresh: 0.36
Epoch 11/32, Train Loss: 0.0181, Dev Acc: 0.2500, Dev AUC: 0.5000, Test Acc: 0.1875, Test AUC: 0.5449, Best Thresh: 0.10
Epoch 12/32, Train Loss: 0.0186, Dev Acc: 0.2500, Dev AUC: 0.4115, Test Acc: 0.1875, Test AUC: 0.4872, Best Thresh: 0.10
Epoch 13/32, Train Loss: 0.0182, Dev Acc: 0.2500, Dev AUC: 0.3958, Test Acc: 0.1875, Test AUC: 0.4679, Best Thresh: 0.10
Epoch 14/32, Train Loss: 0.0176, Dev Acc: 0.2812, Dev AUC: 0.5521, Test Acc: 0.1875, Test AUC: 0.4038, Best Thresh: 0.30
Epoch 15/32, Train Loss: 0.0177, Dev Acc: 0.3125, Dev AUC: 0.4792, Test Acc: 0.2500, Test AUC: 0.5513, Best Thresh: 0.32
Epoch 16/32, Train Loss: 0.0174, Dev Acc: 0.2500, Dev AUC: 0.5156, Test Acc: 0.1875, Test AUC: 0.3846, Best Thresh: 0.10
Epoch 17/32, Train Loss: 0.0170, Dev Acc: 0.5938, Dev AUC: 0.5833, Test Acc: 0.3750, Test AUC: 0.4808, Best Thresh: 0.32
Epoch 18/32, Train Loss: 0.0177, Dev Acc: 0.6250, Dev AUC: 0.6198, Test Acc: 0.5625, Test AUC: 0.4551, Best Thresh: 0.32
Epoch 19/32, Train Loss: 0.0179, Dev Acc: 0.2500, Dev AUC: 0.5938, Test Acc: 0.1875, Test AUC: 0.5513, Best Thresh: 0.10
Epoch 20/32, Train Loss: 0.0177, Dev Acc: 0.2812, Dev AUC: 0.4688, Test Acc: 0.1875, Test AUC: 0.5897, Best Thresh: 0.26
Epoch 21/32, Train Loss: 0.0169, Dev Acc: 0.2812, Dev AUC: 0.4635, Test Acc: 0.2188, Test AUC: 0.4359, Best Thresh: 0.26
Epoch 22/32, Train Loss: 0.0167, Dev Acc: 0.3750, Dev AUC: 0.5365, Test Acc: 0.2500, Test AUC: 0.4038, Best Thresh: 0.28
Epoch 23/32, Train Loss: 0.0173, Dev Acc: 0.4688, Dev AUC: 0.5573, Test Acc: 0.3438, Test AUC: 0.4359, Best Thresh: 0.28
Epoch 24/32, Train Loss: 0.0165, Dev Acc: 0.6875, Dev AUC: 0.6615, Test Acc: 0.7188, Test AUC: 0.6603, Best Thresh: 0.30
Epoch 25/32, Train Loss: 0.0164, Dev Acc: 0.7500, Dev AUC: 0.5729, Test Acc: 0.6875, Test AUC: 0.5769, Best Thresh: 0.30
Epoch 26/32, Train Loss: 0.0165, Dev Acc: 0.2500, Dev AUC: 0.5052, Test Acc: 0.1875, Test AUC: 0.4487, Best Thresh: 0.10
Epoch 27/32, Train Loss: 0.0168, Dev Acc: 0.2500, Dev AUC: 0.3958, Test Acc: 0.1875, Test AUC: 0.4167, Best Thresh: 0.10
Epoch 28/32, Train Loss: 0.0167, Dev Acc: 0.2500, Dev AUC: 0.4479, Test Acc: 0.1875, Test AUC: 0.4615, Best Thresh: 0.10
Epoch 29/32, Train Loss: 0.0166, Dev Acc: 0.2500, Dev AUC: 0.4115, Test Acc: 0.1875, Test AUC: 0.3654, Best Thresh: 0.10
Epoch 30/32, Train Loss: 0.0154, Dev Acc: 0.2500, Dev AUC: 0.4792, Test Acc: 0.1875, Test AUC: 0.2692, Best Thresh: 0.10
Epoch 31/32, Train Loss: 0.0161, Dev Acc: 0.6250, Dev AUC: 0.5573, Test Acc: 0.5938, Test AUC: 0.3654, Best Thresh: 0.26
Epoch 32/32, Train Loss: 0.0166, Dev Acc: 0.4375, Dev AUC: 0.5365, Test Acc: 0.3438, Test AUC: 0.5769, Best Thresh: 0.24
Epoch 1/32, Train Loss: 0.0179, Dev Acc: 0.3125, Dev AUC: 0.5104, Test Acc: 0.2188, Test AUC: 0.5449, Best Thresh: 0.30
Epoch 2/32, Train Loss: 0.0170, Dev Acc: 0.2500, Dev AUC: 0.5052, Test Acc: 0.1875, Test AUC: 0.6026, Best Thresh: 0.10
Epoch 3/32, Train Loss: 0.0167, Dev Acc: 0.3438, Dev AUC: 0.4479, Test Acc: 0.2188, Test AUC: 0.5705, Best Thresh: 0.24
Epoch 4/32, Train Loss: 0.0163, Dev Acc: 0.2500, Dev AUC: 0.4271, Test Acc: 0.1875, Test AUC: 0.6282, Best Thresh: 0.10
Epoch 5/32, Train Loss: 0.0160, Dev Acc: 0.2500, Dev AUC: 0.5625, Test Acc: 0.1875, Test AUC: 0.7244, Best Thresh: 0.10
Epoch 6/32, Train Loss: 0.0170, Dev Acc: 0.3125, Dev AUC: 0.5573, Test Acc: 0.1875, Test AUC: 0.4744, Best Thresh: 0.20
Epoch 7/32, Train Loss: 0.0161, Dev Acc: 0.5625, Dev AUC: 0.5729, Test Acc: 0.4688, Test AUC: 0.5321, Best Thresh: 0.22
Epoch 8/32, Train Loss: 0.0161, Dev Acc: 0.3750, Dev AUC: 0.4792, Test Acc: 0.1875, Test AUC: 0.6603, Best Thresh: 0.20
Epoch 9/32, Train Loss: 0.0167, Dev Acc: 0.2500, Dev AUC: 0.4688, Test Acc: 0.1875, Test AUC: 0.6474, Best Thresh: 0.10
Epoch 10/32, Train Loss: 0.0149, Dev Acc: 0.2500, Dev AUC: 0.4010, Test Acc: 0.1875, Test AUC: 0.5705, Best Thresh: 0.10
Epoch 11/32, Train Loss: 0.0161, Dev Acc: 0.2500, Dev AUC: 0.4896, Test Acc: 0.1875, Test AUC: 0.6667, Best Thresh: 0.10
Epoch 12/32, Train Loss: 0.0162, Dev Acc: 0.3125, Dev AUC: 0.4635, Test Acc: 0.3438, Test AUC: 0.6154, Best Thresh: 0.20
Epoch 13/32, Train Loss: 0.0160, Dev Acc: 0.2500, Dev AUC: 0.6198, Test Acc: 0.1875, Test AUC: 0.6090, Best Thresh: 0.10
Epoch 14/32, Train Loss: 0.0171, Dev Acc: 0.2500, Dev AUC: 0.4792, Test Acc: 0.1875, Test AUC: 0.6026, Best Thresh: 0.10
Epoch 15/32, Train Loss: 0.0159, Dev Acc: 0.5000, Dev AUC: 0.5052, Test Acc: 0.3438, Test AUC: 0.4167, Best Thresh: 0.22
Epoch 16/32, Train Loss: 0.0171, Dev Acc: 0.2500, Dev AUC: 0.4427, Test Acc: 0.1875, Test AUC: 0.4423, Best Thresh: 0.10
Epoch 17/32, Train Loss: 0.0162, Dev Acc: 0.2812, Dev AUC: 0.4740, Test Acc: 0.2500, Test AUC: 0.5513, Best Thresh: 0.20
Epoch 18/32, Train Loss: 0.0154, Dev Acc: 0.2500, Dev AUC: 0.4896, Test Acc: 0.1875, Test AUC: 0.5513, Best Thresh: 0.10
Epoch 19/32, Train Loss: 0.0160, Dev Acc: 0.6250, Dev AUC: 0.5521, Test Acc: 0.5625, Test AUC: 0.3590, Best Thresh: 0.24
Epoch 20/32, Train Loss: 0.0161, Dev Acc: 0.5000, Dev AUC: 0.5052, Test Acc: 0.4375, Test AUC: 0.6218, Best Thresh: 0.20
Epoch 21/32, Train Loss: 0.0165, Dev Acc: 0.4062, Dev AUC: 0.5052, Test Acc: 0.3438, Test AUC: 0.5256, Best Thresh: 0.22
Epoch 22/32, Train Loss: 0.0164, Dev Acc: 0.2812, Dev AUC: 0.5469, Test Acc: 0.1875, Test AUC: 0.6410, Best Thresh: 0.20
Epoch 23/32, Train Loss: 0.0156, Dev Acc: 0.2500, Dev AUC: 0.4323, Test Acc: 0.1875, Test AUC: 0.5192, Best Thresh: 0.10
Epoch 24/32, Train Loss: 0.0155, Dev Acc: 0.2500, Dev AUC: 0.4427, Test Acc: 0.1875, Test AUC: 0.4103, Best Thresh: 0.10
Epoch 25/32, Train Loss: 0.0157, Dev Acc: 0.7812, Dev AUC: 0.6771, Test Acc: 0.6875, Test AUC: 0.6218, Best Thresh: 0.22
Epoch 26/32, Train Loss: 0.0168, Dev Acc: 0.2812, Dev AUC: 0.4844, Test Acc: 0.1875, Test AUC: 0.5000, Best Thresh: 0.20
Epoch 27/32, Train Loss: 0.0173, Dev Acc: 0.4688, Dev AUC: 0.5521, Test Acc: 0.3125, Test AUC: 0.5449, Best Thresh: 0.22
Epoch 28/32, Train Loss: 0.0156, Dev Acc: 0.4062, Dev AUC: 0.6354, Test Acc: 0.2812, Test AUC: 0.6154, Best Thresh: 0.22
Epoch 29/32, Train Loss: 0.0176, Dev Acc: 0.2812, Dev AUC: 0.5521, Test Acc: 0.2500, Test AUC: 0.5064, Best Thresh: 0.20
Epoch 30/32, Train Loss: 0.0155, Dev Acc: 0.2500, Dev AUC: 0.5208, Test Acc: 0.1875, Test AUC: 0.5192, Best Thresh: 0.10
